hq_index,real_image,celeba_image,identity,normalized
23820,23820.jpg,028858.jpg,Aamir_Khan,aamir_khan
20275,20275.jpg,002486.jpg,Aamir_Khan,aamir_khan
27587,27587.jpg,153000.jpg,Aamir_Khan,aamir_khan
23951,23951.jpg,074701.jpg,Aamir_Khan,aamir_khan
20126,20126.jpg,158625.jpg,Aaron_Rodgers,aaron_rodgers
1536,1536.jpg,011022.jpg,Aaron_Staton,aaron_staton
24210,24210.jpg,036240.jpg,Aaron_Staton,aaron_staton
16047,16047.jpg,154178.jpg,Aaron_Staton,aaron_staton
15160,15160.jpg,069675.jpg,Aaron_Staton,aaron_staton
5778,5778.jpg,018539.jpg,Aaron_Staton,aaron_staton
26471,26471.jpg,122037.jpg,Aaron_Staton,aaron_staton
27391,27391.jpg,005330.jpg,Aaron_Staton,aaron_staton
13854,13854.jpg,087818.jpg,Aaron_Staton,aaron_staton
27116,27116.jpg,075517.jpg,Aaron_Staton,aaron_staton
13038,13038.jpg,154793.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
14026,14026.jpg,147449.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
18884,18884.jpg,020549.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
29297,29297.jpg,076966.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
14991,14991.jpg,025925.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
12325,12325.jpg,001677.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
22028,22028.jpg,148959.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
3929,3929.jpg,122837.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
9090,9090.jpg,115672.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
21994,21994.jpg,006085.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
8725,8725.jpg,147229.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
27511,27511.jpg,147379.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
21507,21507.jpg,030669.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
28545,28545.jpg,065422.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
7401,7401.jpg,023894.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
5714,5714.jpg,000481.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
26343,26343.jpg,119032.jpg,Aaron_Taylor-Johnson,aaron_taylor_johnson
29640,29640.jpg,121866.jpg,Abhishek_Bachchan,abhishek_bachchan
4455,4455.jpg,042807.jpg,Abhishek_Bachchan,abhishek_bachchan
9766,9766.jpg,013210.jpg,Abhishek_Bachchan,abhishek_bachchan
28731,28731.jpg,048280.jpg,Abhishek_Bachchan,abhishek_bachchan
11054,11054.jpg,009309.jpg,Abhishek_Bachchan,abhishek_bachchan
4089,4089.jpg,128161.jpg,Abhishek_Bachchan,abhishek_bachchan
13013,13013.jpg,012584.jpg,Abhishek_Bachchan,abhishek_bachchan
