# Selected 3000 real images (seed=42)
# dry_run=False
# stem, original_filename, generator_used_in_DiffFace_A
5853_Brigitte_Bardot, 5853_Brigitte_Bardot.jpg, ADM
13966_Melinda_Clarke, 13966_Melinda_Clarke.jpg, PNDM
108_Katie_Melua, 108_Katie_Melua.jpg, ADM
9544_Sarah_Buxton, 9544_Sarah_Buxton.jpg, ADM
19770_Paul_Wesley, 19770_Paul_Wesley.jpg, ADM
18721_Leon_Thomas_III, 18721_Leon_Thomas_III.jpg, ADM
17956_Kenton_Duty, 17956_Kenton_Duty.jpg, LDM
14972_Vanessa_Hessler, 14972_Vanessa_Hessler.jpg, DDIM
9367_Mikiko_Yano, 9367_Mikiko_Yano.jpg, DDIM
13662_Oliver_Reed, 13662_Oliver_Reed.jpg, ADM
7224_Michelle_Stafford, 7224_Michelle_Stafford.jpg, DDIM
9511_Catherine_Fulop, 9511_Catherine_Fulop.jpg, ADM
29443_Kristin_Bauer_van_Straten, 29443_Kristin_Bauer_van_Straten.jpg, DDIM
13115_Sonal_Chauhan, 13115_Sonal_Chauhan.jpg, PNDM
4095_Alexis_Denisof, 4095_Alexis_Denisof.jpg, LDM
2501_Chris_Webber, 2501_Chris_Webber.jpg, DDPM
1113_Julia_Saner, 1113_Julia_Saner.jpg, ADM
11067_Lars_Ulrich, 11067_Lars_Ulrich.jpg, PNDM
13351_Alec_Empire, 13351_Alec_Empire.jpg, PNDM
17789_Mylene_Demongeot, 17789_Mylene_Demongeot.jpg, LDM
1828_Alona_Tal, 1828_Alona_Tal.jpg, LDM
279_Ciara, 279_Ciara.jpg, ADM
4519_Lacey_Schwimmer, 4519_Lacey_Schwimmer.jpg, ADM
10953_Anne_Jeffreys, 10953_Anne_Jeffreys.jpg, PNDM
3021_Elsa_Pataky, 3021_Elsa_Pataky.jpg, PNDM
17075_Jacques_Brel, 17075_Jacques_Brel.jpg, LDM
8639_Carlos_Ponce, 8639_Carlos_Ponce.jpg, ADM
6236_Johnny_Damon, 6236_Johnny_Damon.jpg, ADM
8113_Alona_Tal, 8113_Alona_Tal.jpg, PNDM
29430_Nicki_Aycox, 29430_Nicki_Aycox.jpg, DDPM
24939_Lindsay_Wagner, 24939_Lindsay_Wagner.jpg, PNDM
17850_Mark_Vanderloo, 17850_Mark_Vanderloo.jpg, DDPM
25988_Angel_Coulby, 25988_Angel_Coulby.jpg, ADM
4044_Michella_Cruz, 4044_Michella_Cruz.jpg, PNDM
19878_Sarah_Roemer, 19878_Sarah_Roemer.jpg, LDM
10237_Jackie_Cooper, 10237_Jackie_Cooper.jpg, DDIM
15684_Adam_Irigoyen, 15684_Adam_Irigoyen.jpg, ADM
7998_Silvina_Luna, 7998_Silvina_Luna.jpg, ADM
25046_Molly_Ringwald, 25046_Molly_Ringwald.jpg, PNDM
22116_Roxanne_Pallett, 22116_Roxanne_Pallett.jpg, DDIM
19867_Brian_McKnight, 19867_Brian_McKnight.jpg, DDIM
15530_Chandler_Canterbury, 15530_Chandler_Canterbury.jpg, DDIM
17672_Bo_Bice, 17672_Bo_Bice.jpg, PNDM
21979_Sonakshi_Sinha, 21979_Sonakshi_Sinha.jpg, PNDM
13654_Clark_Gregg, 13654_Clark_Gregg.jpg, DDPM
1331_Allison_Scagliotti, 1331_Allison_Scagliotti.jpg, DDPM
23516_Yoanna_House, 23516_Yoanna_House.jpg, DDPM
13463_Jared_Gomes, 13463_Jared_Gomes.jpg, LDM
22766_Paolo_Nutini, 22766_Paolo_Nutini.jpg, ADM
22246_Gigi_Leung, 22246_Gigi_Leung.jpg, DDPM
4580_Erika_Toda, 4580_Erika_Toda.jpg, LDM
19402_Firat_Celik, 19402_Firat_Celik.jpg, LDM
11561_Alsou, 11561_Alsou.jpg, PNDM
9132_Patrick_Rukai, 9132_Patrick_Rukai.jpg, DDIM
2632_Crystal_Reed, 2632_Crystal_Reed.jpg, DDIM
29114_Candace_Rae, 29114_Candace_Rae.jpg, DDPM
14440_Alex_Pettyfer, 14440_Alex_Pettyfer.jpg, ADM
2346_Navi_Rawat, 2346_Navi_Rawat.jpg, ADM
12835_Thompkins_Trey, 12835_Thompkins_Trey.jpg, ADM
29684_Jeff_Goldblum, 29684_Jeff_Goldblum.jpg, LDM
20412_Rosie_Huntington_Whiteley, 20412_Rosie_Huntington_Whiteley.jpg, LDM
5471_Cat_Power, 5471_Cat_Power.jpg, LDM
5109_Ashley_Edner, 5109_Ashley_Edner.jpg, PNDM
22861_Navi_Rawat, 22861_Navi_Rawat.jpg, LDM
3611_Alisa_Torres, 3611_Alisa_Torres.jpg, ADM
16840_Xavier_Samuel, 16840_Xavier_Samuel.jpg, ADM
8223_Regina_Feoktistova, 8223_Regina_Feoktistova.jpg, DDIM
12511_Anthony_Green, 12511_Anthony_Green.jpg, ADM
11648_John_Stamos, 11648_John_Stamos.jpg, LDM
664_Kiera_Chaplin, 664_Kiera_Chaplin.jpg, LDM
18125_Sheckler, 18125_Sheckler.jpg, DDPM
20287_Carlson_Young, 20287_Carlson_Young.jpg, PNDM
12866_Risa_Junna, 12866_Risa_Junna.jpg, ADM
18296_Ellen_DeGneres, 18296_Ellen_DeGneres.jpg, PNDM
13615_Tarkan, 13615_Tarkan.jpg, ADM
23524_Vlada_Roslyakova, 23524_Vlada_Roslyakova.jpg, DDIM
1986_Hope_Dworaczyk, 1986_Hope_Dworaczyk.jpg, DDIM
26126_Padma_Lakshmi, 26126_Padma_Lakshmi.jpg, PNDM
5727_Austin_Butler, 5727_Austin_Butler.jpg, LDM
22977_Billy_Currington, 22977_Billy_Currington.jpg, DDPM
15793_Meg_Matthews, 15793_Meg_Matthews.jpg, ADM
23164_Chaske_Spencer, 23164_Chaske_Spencer.jpg, ADM
22637_Almudena_Fernandez, 22637_Almudena_Fernandez.jpg, DDPM
1746_Diana_Amft, 1746_Diana_Amft.jpg, PNDM
6981_Almudena_Fernandez, 6981_Almudena_Fernandez.jpg, PNDM
19493_Sylvia_Fowles, 19493_Sylvia_Fowles.jpg, ADM
8129_Gregg_Sulkin, 8129_Gregg_Sulkin.jpg, DDIM
7470_Nina_Agdal, 7470_Nina_Agdal.jpg, DDPM
6167_Tamara_Ecclestone, 6167_Tamara_Ecclestone.jpg, ADM
12578_Krystyna_Janda, 12578_Krystyna_Janda.jpg, DDIM
4782_Ursula_Andress, 4782_Ursula_Andress.jpg, PNDM
56_Marlene_Favela, 56_Marlene_Favela.jpg, DDIM
16091_Cody_Longo, 16091_Cody_Longo.jpg, LDM
29042_Karolina_Kurkova, 29042_Karolina_Kurkova.jpg, ADM
9111_Antony_Costa, 9111_Antony_Costa.jpg, DDPM
18719_Sherri_Shepherd, 18719_Sherri_Shepherd.jpg, DDIM
15818_Viggo_Mortensen, 15818_Viggo_Mortensen.jpg, PNDM
26435_Afshan_Azad, 26435_Afshan_Azad.jpg, DDIM
23500_Sonarika_Bhadoria, 23500_Sonarika_Bhadoria.jpg, PNDM
19599_Bhoomika_Chawla, 19599_Bhoomika_Chawla.jpg, LDM
5874_Michael_Berryman, 5874_Michael_Berryman.jpg, PNDM
7636_Annette_Vadim, 7636_Annette_Vadim.jpg, DDPM
29868_Maki_Horikita, 29868_Maki_Horikita.jpg, LDM
17820_David_Cook, 17820_David_Cook.jpg, DDIM
7511_Victorias_Secret, 7511_Victorias_Secret.jpg, ADM
21537_David_Koechner, 21537_David_Koechner.jpg, PNDM
11995_Gianne_Albertoni, 11995_Gianne_Albertoni.jpg, DDPM
18163_Min-Young_Park, 18163_Min-Young_Park.jpg, ADM
1114_Linda_Darnell, 1114_Linda_Darnell.jpg, ADM
21220_Dian_Parkinson, 21220_Dian_Parkinson.jpg, LDM
24272_Rumer_Willis, 24272_Rumer_Willis.jpg, DDIM
19520_Sandrah_Hellberg, 19520_Sandrah_Hellberg.jpg, ADM
12385_Layne_Staley, 12385_Layne_Staley.jpg, DDPM
17519_Ivana_Milicevic, 17519_Ivana_Milicevic.jpg, PNDM
3236_Toni_Garrn, 3236_Toni_Garrn.jpg, PNDM
8705_Aaron_Krogman, 8705_Aaron_Krogman.jpg, PNDM
21197_Charles_S_Dutton, 21197_Charles_S_Dutton.jpg, LDM
17581_Hugh_Dillon, 17581_Hugh_Dillon.jpg, DDPM
6436_Ajay_Devgn, 6436_Ajay_Devgn.jpg, ADM
27780_Gregory_Harrison, 27780_Gregory_Harrison.jpg, DDPM
24069_Trent_Reznor, 24069_Trent_Reznor.jpg, LDM
5984_Trevor_Donovan, 5984_Trevor_Donovan.jpg, LDM
26312_Mauricio_Umansky, 26312_Mauricio_Umansky.jpg, DDIM
15090_Diana_Vickers, 15090_Diana_Vickers.jpg, DDPM
19415_Joanna_JoJo_Levesque, 19415_Joanna_JoJo_Levesque.jpg, PNDM
14975_Gail_OGrady, 14975_Gail_OGrady.jpg, LDM
18782_Caio_Castro, 18782_Caio_Castro.jpg, LDM
966_Sara_Sampaio, 966_Sara_Sampaio.jpg, DDIM
3026_Vincent_Kartheiser, 3026_Vincent_Kartheiser.jpg, PNDM
29210_Riley_Smith, 29210_Riley_Smith.jpg, LDM
19343_Rebecca_Mader, 19343_Rebecca_Mader.jpg, ADM
9736_Bushido, 9736_Bushido.jpg, PNDM
3872_Peter_Criss, 3872_Peter_Criss.jpg, DDPM
2525_Erin_Heatherton, 2525_Erin_Heatherton.jpg, DDIM
3837_Hande_Subasi, 3837_Hande_Subasi.jpg, ADM
24204_Mallory_Snyder, 24204_Mallory_Snyder.jpg, ADM
22873_Sasha_Pieterse, 22873_Sasha_Pieterse.jpg, DDPM
1780_Grigoris_Arnaoutoglou, 1780_Grigoris_Arnaoutoglou.jpg, DDIM
14927_Lisa_Martinek, 14927_Lisa_Martinek.jpg, LDM
28156_Anne_Jeffreys, 28156_Anne_Jeffreys.jpg, DDIM
27572_Viggo_Mortensen, 27572_Viggo_Mortensen.jpg, LDM
13255_David_Mazouz, 13255_David_Mazouz.jpg, DDPM
1168_Margo_Harshman, 1168_Margo_Harshman.jpg, DDPM
13904_Vanessa_Fonseca, 13904_Vanessa_Fonseca.jpg, ADM
15446_Kirsty_Gallacher, 15446_Kirsty_Gallacher.jpg, ADM
5432_Alfred_Hitchcock, 5432_Alfred_Hitchcock.jpg, ADM
15696_Jacques_Brel, 15696_Jacques_Brel.jpg, DDPM
7361_Peabo_Bryson, 7361_Peabo_Bryson.jpg, LDM
2502_Bipasha_Basu, 2502_Bipasha_Basu.jpg, DDPM
430_Sung_Kang, 430_Sung_Kang.jpg, DDPM
12278_Ivy_Levan, 12278_Ivy_Levan.jpg, ADM
23694_Glenn_Frey, 23694_Glenn_Frey.jpg, DDIM
2357_Bradley_James, 2357_Bradley_James.jpg, ADM
428_Shay_Mitchell, 428_Shay_Mitchell.jpg, DDIM
26640_Michael_Steger, 26640_Michael_Steger.jpg, LDM
28861_Yui_Aragaki, 28861_Yui_Aragaki.jpg, LDM
18958_Colton_Dixon, 18958_Colton_Dixon.jpg, PNDM
