hq_index,real_image,celeba_image,identity
0,0.jpg,119614.jpg,Olivia_Culpo
1,1.jpg,099095.jpg,Nikki_Sjoberg
2,2.jpg,200122.jpg,Mayte_Piragibe
3,3.jpg,081060.jpg,Gabriella_Sabatini
5,5.jpg,000615.jpg,Martha_Hunt
6,6.jpg,050916.jpg,Charice
7,7.jpg,166546.jpg,Anya_Kazakova
9,9.jpg,101742.jpg,Patrick_Schwarzenegger
10,10.jpg,157746.jpg,Kyle_Massey
11,11.jpg,078316.jpg,Janeta_Samp
12,12.jpg,167420.jpg,Anna_Selezneva
13,13.jpg,167707.jpg,Anna_Selezneva
14,14.jpg,055526.jpg,Jana_Ina
15,15.jpg,089616.jpg,Farrah_Fawcett
16,16.jpg,034959.jpg,Saskia_De_Brauw
17,17.jpg,174482.jpg,Daphne_Groeneveld
18,18.jpg,154922.jpg,Margo_Harshman
19,19.jpg,163132.jpg,Heloise_Guerin
20,20.jpg,057380.jpg,Franziska_Knuppe
21,21.jpg,097644.jpg,Emma_Rigby
22,22.jpg,082112.jpg,Victorias_Secret
23,23.jpg,117315.jpg,Virginia_Leith
24,24.jpg,134267.jpg,Sonya_Smith
25,25.jpg,116487.jpg,Juliana_Imai
26,26.jpg,190261.jpg,Vanessa_Paradis
28,28.jpg,105832.jpg,Ursula_Andress
29,29.jpg,167425.jpg,Alison_Nix
30,30.jpg,132980.jpg,Eugenio_Siller
31,31.jpg,109161.jpg,Kris_Jenner
32,32.jpg,146917.jpg,Frankie_Avalon
33,33.jpg,131360.jpg,Andrea_Osvart
34,34.jpg,146932.jpg,Hulk_Hogan
37,37.jpg,035668.jpg,David_Niven
38,38.jpg,031876.jpg,Jane_Badler
39,39.jpg,140963.jpg,William_Levy
40,40.jpg,172346.jpg,Fred_Coury
41,41.jpg,063836.jpg,Daniela_Katzenberger
42,42.jpg,096001.jpg,Marique_Schimmel
43,43.jpg,050940.jpg,Michael_Nesmith
44,44.jpg,192206.jpg,Vanna_White
45,45.jpg,122644.jpg,Tanya_Dziahileva
46,46.jpg,019681.jpg,Sylvie_van_der_Vaart
47,47.jpg,019871.jpg,Alicja_Bachleda
48,48.jpg,092500.jpg,Sona_Matufkova
50,50.jpg,061395.jpg,Ksenia_Kahnovich
51,51.jpg,048169.jpg,Monet_Mazur
52,52.jpg,156163.jpg,Steven_Wilson
53,53.jpg,088898.jpg,Anabela_Belikova
54,54.jpg,119530.jpg,Katsia_Damankova
