identity,standardized_name,merge_key,source
"""Weird Al"" Yankovic",Weird Al Yankovic,weirdalyankovic,DFFC
2 Tuff Tony,2 Tuff Tony,2tufftony,DFFC
360,360,360,DFFC
A-1,A-1,a1,DFFC
A. C. Green,AC Green,acgreen,DFFC
A. J. Allmendinger,AJ Allmendinger,ajallmendinger,DFFC
A. J. Calloway,AJ Calloway,ajcalloway,DFFC
A. J. Hinch,AJ Hinch,ajhinch,DFFC
A. J. Jefferson,AJ Jefferson,ajjefferson,DFFC
A. J. Jenkins,AJ Jenkins,ajjenkins,DFFC
A. J. Price,AJ Price,ajprice,DFFC
A. James Gregor,A James Gregor,ajamesgregor,DFFC
A. Lee Martinez,A Lee Martinez,aleemartinez,DFFC
A. R. Rahman,AR Rahman,arrahman,DFFC
A.J. Applegate,AJ Applegate,ajapplegate,DFFC
A.J. Styles,AJ Styles,ajstyles,DFFC
ACH,ACH,ach,DFFC
AJ Lee,AJ Lee,ajlee,DFFC
AJ McCarron,AJ McCarron,ajmccarron,DFFC
Aalviar Lima,Aalviar Lima,aalviarlima,DFFC
Aamir Khan,Aamir Khan,aamirkhan,DFFC
Aaro Vainio,Aaro Vainio,aarovainio,DFFC
Aaron Ashmore,Aaron Ashmore,aaronashmore,DFFC
Aaron Bates,Aaron Bates,aaronbates,DFFC
Aaron Berry,Aaron Berry,aaronberry,DFFC
Aaron Brooks,Aaron Brooks,aaronbrooks,DFFC
Aaron Cornelius,Aaron Cornelius,aaroncornelius,DFFC
Aaron Corp,Aaron Corp,aaroncorp,DFFC
Aaron Dessner,Aaron Dessner,aarondessner,DFFC
Aaron Donald,Aaron Donald,aarondonald,DFFC
Aaron Eckhart,Aaron Eckhart,aaroneckhart,DFFC
Aaron Gordon,Aaron Gordon,aarongordon,DFFC
Aaron Gryder,Aaron Gryder,aarongryder,DFFC
Aaron Harrison,Aaron Harrison,aaronharrison,DFFC
Aaron Hughes,Aaron Hughes,aaronhughes,DFFC
Aaron Lim,Aaron Lim,aaronlim,DFFC
Aaron Links,Aaron Links,aaronlinks,DFFC
Aaron Lopresti,Aaron Lopresti,aaronlopresti,DFFC
Aaron Lynch,Aaron Lynch,aaronlynch,DFFC
Aaron Mellette,Aaron Mellette,aaronmellette,DFFC
Aaron North,Aaron North,aaronnorth,DFFC
Aaron O'Connor,Aaron O'Connor,aaronoconnor,DFFC
Aaron Payas,Aaron Payas,aaronpayas,DFFC
Aaron Pierre,Aaron Pierre,aaronpierre,DFFC
Aaron Ramsey,Aaron Ramsey,aaronramsey,DFFC
Aaron Rhind,Aaron Rhind,aaronrhind,DFFC
Aaron Rodgers,Aaron Rodgers,aaronrodgers,DFFC
Aaron Ross,Aaron Ross,aaronross,DFFC
Aaron Sandilands,Aaron Sandilands,aaronsandilands,DFFC
Aaron Smith,Aaron Smith,aaronsmith,DFFC
Aaron Sorkin,Aaron Sorkin,aaronsorkin,DFFC
Aaron Staton,Aaron Staton,aaronstaton,DFFC
Aaron Swartz,Aaron Swartz,aaronswartz,DFFC
Aaron Taylor-Johnson,Aaron Taylor-Johnson,aarontaylorjohnson,DFFC
Aaron Tippin,Aaron Tippin,aarontippin,DFFC
Aaron Tveit,Aaron Tveit,aarontveit,DFFC
Aaron Van Cleave,Aaron Van Cleave,aaronvancleave,DFFC
Aaron Williams,Aaron Williams,aaronwilliams,DFFC
Aaron Yonda,Aaron Yonda,aaronyonda,DFFC
Abby Bishop,Abby Bishop,abbybishop,DFFC
Abby Hoffman,Abby Hoffman,abbyhoffman,DFFC
Abby Sunderland,Abby Sunderland,abbysunderland,DFFC
Abdala Faye,Abdala Faye,abdalafaye,DFFC
Abdelaziz Bennij,Abdelaziz Bennij,abdelazizbennij,DFFC
Abdelhafid Tasfaout,Abdelhafid Tasfaout,abdelhafidtasfaout,DFFC
Abdellatif Kechiche,Abdellatif Kechiche,abdellatifkechiche,DFFC
Abdelmoumene Djabou,Abdelmoumene Djabou,abdelmoumenedjabou,DFFC
Abderrahime Bouramdane,Abderrahime Bouramdane,abderrahimebouramdane,DFFC
Abdolfattah Soltani,Abdolfattah Soltani,abdolfattahsoltani,DFFC
Abdollah Karami,Abdollah Karami,abdollahkarami,DFFC
Abdoulaye Diallo,Abdoulaye Diallo,abdoulayediallo,DFFC
Abdoulaye Doucouré,Abdoulaye Doucouré,abdoulayedoucour,DFFC
Abdul Hafiz,Abdul Hafiz,abdulhafiz,DFFC
Abdul Rashid Ghazi,Abdul Rashid Ghazi,abdulrashidghazi,DFFC
Abduljalil Khalil,Abduljalil Khalil,abduljalilkhalil,DFFC
Abdulkareem Khadr,Abdulkareem Khadr,abdulkareemkhadr,DFFC
Abdullah Avcı,Abdullah Avcı,abdullahavc,DFFC
Abdullah Ercan,Abdullah Ercan,abdullahercan,DFFC
Abdullah Kobayashi,Abdullah Kobayashi,abdullahkobayashi,DFFC
Abdulrahman bin Musa'ad,Abdulrahman bin Musa'ad,abdulrahmanbinmusaad,DFFC
Abebe Fekadu,Abebe Fekadu,abebefekadu,DFFC
Abedin Mahdavi,Abedin Mahdavi,abedinmahdavi,DFFC
Abelardo Fernández,Abelardo Fernández,abelardofernndez,DFFC
Abella Anderson,Abella Anderson,abellaanderson,DFFC
Abera Kuma,Abera Kuma,aberakuma,DFFC
Abhishek Bachchan,Abhishek Bachchan,abhishekbachchan,DFFC
Abhishek Kapoor,Abhishek Kapoor,abhishekkapoor,DFFC
Abigail Spears,Abigail Spears,abigailspears,DFFC
Abigail Spencer,Abigail Spencer,abigailspencer,DFFC
Abraham Mateo,Abraham Mateo,abrahammateo,DFFC
Abreham Cherkos,Abreham Cherkos,abrehamcherkos,DFFC
Abu Bakr al-Baghdadi,Abu Bakr al-Baghdadi,abubakralbaghdadi,DFFC
Abul Fateh,Abul Fateh,abulfateh,DFFC
Abune Paulos,Abune Paulos,abunepaulos,DFFC
