Identity_ID,Name,Real_Count,Fake_Count,Verdict
ID000095,Eberechi Eze,3,0,DISCARD_NO_FAKE
ID000126,Greg Kinnear,3,0,DISCARD_NO_FAKE
ID000205,Katie Featherston,3,0,DISCARD_NO_FAKE
ID000224,Lautaro MartÃ­nez,3,0,DISCARD_NO_FAKE
ID000236,Marc Cucurella,3,0,DISCARD_NO_FAKE
ID000238,Marcia Gay Harden,3,0,DISCARD_NO_FAKE
ID000393,tarek el moussa,3,0,DISCARD_NO_FAKE
ID000001,Aaron Judge,3,12,PAIRED
ID000002,Abbie Cornish,3,6,PAIRED
ID000003,Abdel-Fattah-el-Sisi,3,11,PAIRED
ID000004,Abdulnasser-Bin-Kalban,3,11,PAIRED
ID000005,Adam Sandler,3,12,PAIRED
ID000006,Agatha-moreira,3,5,PAIRED
ID000007,Aiden Markram,3,5,PAIRED
ID000008,Aishwarya-Rai,3,12,PAIRED
ID000009,Albert-Eienstain,3,12,PAIRED
ID000010,Alec Baldwin,3,12,PAIRED
ID000011,Alessandro,3,11,PAIRED
ID000012,Alex-Cooper,3,7,PAIRED
ID000013,Alexandria Ocasio-Cortez,3,12,PAIRED
ID000014,Alia-Butt,3,12,PAIRED
ID000015,Alina-Amir,3,12,PAIRED
ID000016,Alix-Earle,3,4,PAIRED
ID000017,Amber Heard,3,12,PAIRED
ID000018,Ana-de-Armas,3,12,PAIRED
ID000019,Andrea Pirlo,3,6,PAIRED
ID000020,Andrew Garfield,3,12,PAIRED
ID000021,Andy-Jassy,3,1,PAIRED
ID000022,Angelina Jolie,3,12,PAIRED
ID000023,Anna Faris,3,9,PAIRED
ID000024,Anna Wintour,3,12,PAIRED
ID000025,Anthony Hopkins,3,11,PAIRED
ID000026,Anthony-Edwards,3,9,PAIRED
ID000027,Antoine-Griezmann,3,10,PAIRED
ID000028,Antonio Banderas,3,11,PAIRED
ID000029,Antonio-Guterres,3,10,PAIRED
ID000030,Antony,3,10,PAIRED
ID000031,Arnold Schwarzenegger,3,12,PAIRED
ID000032,Ashley Judd,3,11,PAIRED
ID000033,Ashton Kutcher,3,4,PAIRED
ID000034,Audrey Hepburn,3,12,PAIRED
ID000035,Audrey Tautou,3,11,PAIRED
ID000036,Auston-Matthews,3,11,PAIRED
ID000037,Babar-Azam,3,10,PAIRED
ID000038,Barack-obamam,3,12,PAIRED
ID000039,Bashar-al-Assad,3,12,PAIRED
ID000040,Ben Affleck,3,12,PAIRED
ID000041,Ben Foster,3,6,PAIRED
ID000042,Ben Kingsley,3,6,PAIRED
ID000043,Benedict Cumberbatch,3,11,PAIRED
ID000044,Benicio del Toro,3,10,PAIRED
ID000045,Benjamin-Netanyahu,3,12,PAIRED
ID000046,Benson-Boone,3,4,PAIRED
ID000047,Beyonacca,3,12,PAIRED
ID000048,Bill Paxton,3,6,PAIRED
ID000049,Billy Bob Thornton,3,10,PAIRED
ID000050,Blair-Parry-Okeden,3,12,PAIRED
ID000051,Bob Dylan,3,12,PAIRED
ID000052,Brad Pitt,3,12,PAIRED
ID000053,Brenda-Tau,3,11,PAIRED
ID000054,Bruce Willis,3,12,PAIRED
