ID,Celebrity,Image,Type,Identity,Reliable,SingleFace,Quality,Artifact,Artifact_Explanation,Selected,AnnotationStart,AnnotationEnd
ID000291,Paul-Newman,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:02:14,2026-08-07T11:10:49
ID000291,Paul-Newman,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:10:49,2026-08-07T11:11:21
ID000291,Paul-Newman,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:11:36,2026-08-07T11:12:57
ID000291,Paul-Newman,02.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T11:12:57,2026-08-07T11:15:42
ID000291,Paul-Newman,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:15:43,2026-08-07T11:16:40
ID000384,kriti-sanon,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:16:42,2026-08-07T11:18:28
ID000384,kriti-sanon,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:18:30,2026-08-07T11:18:57
ID000384,kriti-sanon,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:18:57,2026-08-07T11:19:21
ID000237,Marc-Benioff,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:19:22,2026-08-07T11:19:49
ID000237,Marc-Benioff,01.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T11:19:50,2026-08-07T11:20:10
ID000237,Marc-Benioff,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:20:10,2026-08-07T11:22:34
ID000110,Eva-Mendes,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:22:35,2026-08-07T11:23:14
ID000110,Eva-Mendes,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:23:14,2026-08-07T11:24:03
ID000110,Eva-Mendes,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:24:04,2026-08-07T11:24:16
ID000110,Eva-Mendes,02.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T11:24:16,2026-08-07T11:24:26
ID000110,Eva-Mendes,03.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T11:24:26,2026-08-07T11:24:34
ID000134,Hannah-Stocking,01.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:24:37,2026-08-07T11:25:39
ID000134,Hannah-Stocking,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:25:40,2026-08-07T11:25:46
ID000134,Hannah-Stocking,01.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T11:25:48,2026-08-07T11:25:59
ID000134,Hannah-Stocking,02.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T11:25:59,2026-08-07T11:26:26
ID000134,Hannah-Stocking,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:26:27,2026-08-07T11:26:35
ID000134,Hannah-Stocking,04.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T11:26:35,2026-08-07T11:26:55
ID000141,Hiroyuki-Sanada,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:26:57,2026-08-07T11:27:15
ID000141,Hiroyuki-Sanada,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:27:15,2026-08-07T11:27:20
ID000141,Hiroyuki-Sanada,01.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T11:27:22,2026-08-07T11:27:36
ID000141,Hiroyuki-Sanada,02.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T11:27:37,2026-08-07T11:27:46
ID000347,Tate-McRae,01.jpg,Real,No,Yes,Yes,Yes,,,No,2026-08-07T11:27:48,2026-08-07T11:30:09
ID000347,Tate-McRae,01.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T11:30:12,2026-08-07T11:31:39
ID000347,Tate-McRae,02.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T11:31:40,2026-08-07T11:32:29
ID000347,Tate-McRae,03.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T11:32:30,2026-08-07T11:33:26
ID000347,Tate-McRae,04.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T11:33:27,2026-08-07T11:33:44
ID000365,Walter-Matthau,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:33:46,2026-08-07T11:34:01
ID000365,Walter-Matthau,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:34:01,2026-08-07T11:34:06
ID000365,Walter-Matthau,01.png,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:34:07,2026-08-07T11:34:22
ID000365,Walter-Matthau,02.png,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T11:34:22,2026-08-07T11:34:31
ID000365,Walter-Matthau,04.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T11:34:31,2026-08-07T11:34:39
ID000081,Daniel-Radcliffe,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:34:42,2026-08-07T11:34:53
ID000081,Daniel-Radcliffe,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T11:34:53,2026-08-07T11:34:59
ID000081,Daniel-Radcliffe,01.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T11:35:01,2026-08-07T11:35:07
ID000081,Daniel-Radcliffe,02.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T11:35:08,2026-08-07T11:35:26
ID000081,Daniel-Radcliffe,03.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T11:35:26,2026-08-07T11:35:37
ID000081,Daniel-Radcliffe,04.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T11:35:37,2026-08-07T11:35:56
ID000081,Daniel-Radcliffe,05.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T11:35:56,2026-08-07T11:36:06
