IdentityFolder,Type,Image,Confidence,Status
ID000001_Aaron-Judge,Real,01.jpg,1.0000,KEPT
ID000001_Aaron-Judge,Fake,02.jpg,1.0000,KEPT
ID000002_Abbie-Cornish,Real,01.jpg,1.0000,KEPT
ID000002_Abbie-Cornish,Fake,01.jpg,1.0000,KEPT
ID000002_Abbie-Cornish,Fake,02.jpg,0.9994,KEPT
ID000003_Abdel-Fattah-el-Sisi,Real,01.jpg,1.0000,KEPT
ID000003_Abdel-Fattah-el-Sisi,Fake,04.png,1.0000,KEPT
ID000005_Adam-Sandler,Real,01.jpg,0.9998,KEPT
ID000005_Adam-Sandler,Real,02.jpg,0.9997,KEPT
ID000005_Adam-Sandler,Fake,01.jpg,1.0000,KEPT
ID000005_Adam-Sandler,Fake,03.jpg,1.0000,KEPT
ID000006_Agatha-moreira,Real,01.jpg,0.9999,KEPT
ID000006_Agatha-moreira,Real,02.jpg,1.0000,KEPT
ID000006_Agatha-moreira,Real,03.jpg,0.9999,KEPT
ID000006_Agatha-moreira,Fake,03.png,0.9996,KEPT
ID000008_Aishwarya-Rai,Real,01.jpg,1.0000,KEPT
ID000008_Aishwarya-Rai,Real,02.jpg,1.0000,KEPT
ID000008_Aishwarya-Rai,Fake,01.jpg,0.9998,KEPT
ID000008_Aishwarya-Rai,Fake,03.jpg,1.0000,KEPT
ID000008_Aishwarya-Rai,Fake,05.png,0.9996,KEPT
ID000009_Albert-Eienstain,Real,01.jpg,0.9998,KEPT
ID000009_Albert-Eienstain,Real,02.jpg,0.9999,KEPT
ID000009_Albert-Eienstain,Fake,03.jpg,0.9939,KEPT
ID000009_Albert-Eienstain,Fake,05.png,0.9998,KEPT
ID000010_Alec-Baldwin,Real,01.jpg,1.0000,KEPT
ID000010_Alec-Baldwin,Real,02.jpg,1.0000,KEPT
ID000010_Alec-Baldwin,Real,03.jpg,0.9995,KEPT
ID000010_Alec-Baldwin,Fake,02.jpg,1.0000,KEPT
ID000013_Alexandria-Ocasio-Cortez,Real,01.jpg,1.0000,KEPT
ID000013_Alexandria-Ocasio-Cortez,Real,02.jpg,1.0000,KEPT
ID000013_Alexandria-Ocasio-Cortez,Fake,1.png,1.0000,KEPT
ID000014_Alia-Butt,Real,01.jpg,0.9998,KEPT
ID000014_Alia-Butt,Real,02.jpg,0.9998,KEPT
ID000014_Alia-Butt,Real,03.jpg,1.0000,KEPT
ID000014_Alia-Butt,Fake,04.png,1.0000,KEPT
ID000016_Alix-Earle,Real,01.png,0.9999,KEPT
ID000016_Alix-Earle,Real,02.jpg,0.9997,KEPT
ID000016_Alix-Earle,Fake,02.png,1.0000,KEPT
ID000017_Amber-Heard,Real,01.jpg,0.9999,KEPT
ID000017_Amber-Heard,Fake,01.jpg,1.0000,KEPT
ID000017_Amber-Heard,Fake,02.jpg,0.9915,KEPT
ID000018_Ana-de-Armas,Real,01.jpg,0.9977,KEPT
ID000018_Ana-de-Armas,Real,02.jpg,0.9998,KEPT
ID000018_Ana-de-Armas,Fake,04.jpg,0.9997,KEPT
ID000018_Ana-de-Armas,Fake,07.png,0.9999,KEPT
ID000019_Andrea-Pirlo,Real,01.jpg,0.9994,KEPT
ID000019_Andrea-Pirlo,Real,1.jpg,0.9988,KEPT
ID000019_Andrea-Pirlo,Fake,02.jpg,0.9999,KEPT
