ID,Celebrity,Image,Type,NumAnnotators,VotesYes,VotesNo,CriteriaMetFraction,FinalDecision,Reason
ID000001,Aaron-Judge,01.jpg,Fake,6,3,3,0.67,TIE,
ID000001,Aaron-Judge,01.jpg,Real,6,6,0,1.0,KEEP,
ID000001,Aaron-Judge,02.jpg,Fake,6,5,1,0.83,KEEP,
ID000002,Abbie-Cornish,01.jpg,Fake,6,4,2,0.67,KEEP,
ID000002,Abbie-Cornish,01.jpg,Real,6,6,0,1.0,KEEP,
ID000002,Abbie-Cornish,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000003,Abdel-Fattah-el-Sisi,01.jpg,Fake,6,1,5,0.5,DISCARD,
ID000003,Abdel-Fattah-el-Sisi,01.jpg,Real,6,6,0,1.0,KEEP,
ID000003,Abdel-Fattah-el-Sisi,02.jpg,Fake,6,0,6,0.33,DISCARD,
ID000003,Abdel-Fattah-el-Sisi,03.jpg,Fake,6,2,4,0.67,DISCARD,
ID000003,Abdel-Fattah-el-Sisi,04.png,Fake,6,6,0,1.0,KEEP,
ID000003,Abdel-Fattah-el-Sisi,05.jpg,Fake,6,2,4,0.67,DISCARD,
ID000004,Abdulnasser-Bin-Kalban,01.jpg,Fake,6,0,6,0.0,DISCARD,
ID000004,Abdulnasser-Bin-Kalban,01.jpg,Real,6,6,0,1.0,KEEP,
ID000004,Abdulnasser-Bin-Kalban,02.jpg,Real,6,6,0,1.0,KEEP,
ID000005,Adam-Sandler,01.jpg,Fake,6,4,2,0.67,KEEP,
ID000005,Adam-Sandler,01.jpg,Real,6,6,0,1.0,KEEP,
ID000005,Adam-Sandler,02.jpg,Real,6,6,0,1.0,KEEP,
ID000005,Adam-Sandler,03.jpg,Fake,6,5,1,0.83,KEEP,
ID000005,Adam-Sandler,04.jpg,Fake,6,3,3,0.5,TIE,
ID000006,Agatha-moreira,01.jpg,Fake,6,2,4,0.33,DISCARD,
ID000006,Agatha-moreira,01.jpg,Real,6,5,1,1.0,KEEP,
ID000006,Agatha-moreira,02.jpg,Fake,6,0,6,0.0,DISCARD,
ID000006,Agatha-moreira,02.jpg,Real,6,6,0,1.0,KEEP,
ID000006,Agatha-moreira,03.jpg,Real,6,6,0,1.0,KEEP,
ID000006,Agatha-moreira,03.png,Fake,6,4,2,0.67,KEEP,
ID000008,Aishwarya-Rai,01.jpg,Fake,6,4,2,1.0,KEEP,
ID000008,Aishwarya-Rai,01.jpg,Real,6,6,0,1.0,KEEP,
ID000008,Aishwarya-Rai,02.jpg,Fake,6,1,5,0.83,DISCARD,
ID000008,Aishwarya-Rai,02.jpg,Real,6,6,0,1.0,KEEP,
ID000008,Aishwarya-Rai,03.jpg,Fake,6,5,1,0.83,KEEP,
ID000008,Aishwarya-Rai,04.jpg,Fake,6,0,6,0.5,DISCARD,
ID000008,Aishwarya-Rai,05.png,Fake,6,4,2,0.83,KEEP,
ID000009,Albert-Eienstain,01.jpg,Fake,6,3,3,0.83,TIE,
ID000009,Albert-Eienstain,01.jpg,Real,6,6,0,1.0,KEEP,
ID000009,Albert-Eienstain,02.jpg,Real,6,6,0,1.0,KEEP,
ID000009,Albert-Eienstain,03.jpg,Fake,6,4,2,1.0,KEEP,
ID000009,Albert-Eienstain,04.jpg,Fake,6,3,3,0.83,TIE,
ID000009,Albert-Eienstain,05.png,Fake,6,4,2,1.0,KEEP,
ID000010,Alec-Baldwin,01.jpg,Fake,6,1,5,0.17,DISCARD,
ID000010,Alec-Baldwin,01.jpg,Real,6,5,1,0.83,KEEP,
ID000010,Alec-Baldwin,02.jpg,Fake,6,5,1,0.83,KEEP,
ID000010,Alec-Baldwin,02.jpg,Real,6,6,0,1.0,KEEP,
ID000010,Alec-Baldwin,03.jpg,Real,6,6,0,1.0,KEEP,
ID000012,Alex-Cooper,01.jpg,Fake,6,0,6,0.0,DISCARD,
ID000012,Alex-Cooper,01.jpg,Real,6,1,5,0.33,DISCARD,
ID000012,Alex-Cooper,02.jpg,Real,6,6,0,1.0,KEEP,
ID000012,Alex-Cooper,02.png,Fake,6,2,4,0.33,DISCARD,
ID000012,Alex-Cooper,03.jpg,Real,6,6,0,1.0,KEEP,
ID000013,Alexandria-Ocasio-Cortez,01.jpg,Real,6,6,0,1.0,KEEP,
ID000013,Alexandria-Ocasio-Cortez,02.jpg,Real,6,6,0,1.0,KEEP,
ID000013,Alexandria-Ocasio-Cortez,1.png,Fake,6,5,1,0.83,KEEP,
ID000014,Alia-Butt,01.jpg,Fake,6,3,3,0.67,TIE,
ID000014,Alia-Butt,01.jpg,Real,6,6,0,1.0,KEEP,
ID000014,Alia-Butt,02.jpg,Fake,6,1,5,0.17,DISCARD,
ID000014,Alia-Butt,02.jpg,Real,6,6,0,1.0,KEEP,
ID000014,Alia-Butt,03.jpg,Fake,6,1,5,0.17,DISCARD,
ID000014,Alia-Butt,03.jpg,Real,6,6,0,1.0,KEEP,
ID000014,Alia-Butt,04.png,Fake,6,6,0,1.0,KEEP,
ID000015,Alina-Amir,01.jpg,Real,6,3,3,0.5,TIE,
ID000015,Alina-Amir,01.png,Fake,6,1,5,0.17,DISCARD,
ID000015,Alina-Amir,02.jpg,Fake,6,5,1,0.83,KEEP,
ID000015,Alina-Amir,04.png,Fake,6,3,3,0.5,TIE,
ID000016,Alix-Earle,01.png,Real,6,6,0,1.0,KEEP,
ID000016,Alix-Earle,02.jpg,Real,6,6,0,1.0,KEEP,
ID000016,Alix-Earle,02.png,Fake,6,5,1,0.83,KEEP,
ID000016,Alix-Earle,03.jpg,Fake,6,1,5,0.33,DISCARD,
ID000017,Amber-Heard,01.jpg,Fake,6,4,2,0.83,KEEP,
ID000017,Amber-Heard,01.jpg,Real,6,6,0,1.0,KEEP,
ID000017,Amber-Heard,02.jpg,Fake,6,4,2,0.83,KEEP,
ID000017,Amber-Heard,03.jpg,Fake,6,1,5,0.5,DISCARD,
ID000017,Amber-Heard,04.jpg,Fake,6,1,5,0.33,DISCARD,
ID000018,Ana-de-Armas,01.jpg,Fake,6,0,6,0.0,DISCARD,
ID000018,Ana-de-Armas,01.jpg,Real,6,6,0,1.0,KEEP,
ID000018,Ana-de-Armas,02.jpg,Fake,6,2,4,0.5,DISCARD,
ID000018,Ana-de-Armas,02.jpg,Real,6,6,0,1.0,KEEP,
ID000018,Ana-de-Armas,03.jpg,Fake,6,1,5,0.33,DISCARD,
ID000018,Ana-de-Armas,04.jpg,Fake,6,5,1,1.0,KEEP,
ID000018,Ana-de-Armas,06.jpg,Fake,6,1,5,0.33,DISCARD,
ID000018,Ana-de-Armas,07.png,Fake,6,4,2,1.0,KEEP,
ID000019,Andrea-Pirlo,01.jpg,Real,6,6,0,1.0,KEEP,
ID000019,Andrea-Pirlo,02.jpg,Fake,6,4,2,0.83,KEEP,
ID000019,Andrea-Pirlo,1.jpg,Fake,6,6,0,1.0,KEEP,
ID000019,Andrea-Pirlo,1.jpg,Real,6,6,0,1.0,KEEP,
ID000020,Andrew-Garfield,01.jpg,Fake,6,5,1,0.83,KEEP,
ID000020,Andrew-Garfield,01.jpg,Real,6,6,0,1.0,KEEP,
ID000020,Andrew-Garfield,02.jpg,Fake,6,5,1,0.83,KEEP,
ID000020,Andrew-Garfield,02.jpg,Real,6,6,0,1.0,KEEP,
ID000021,Andy-Jassy,01.jpg,Fake,6,2,4,0.33,DISCARD,
ID000021,Andy-Jassy,01.jpg,Real,6,6,0,1.0,KEEP,
ID000021,Andy-Jassy,02.jpg,Real,6,6,0,1.0,KEEP,
ID000022,Angelina-Jolie,01.jpg,Fake,6,4,2,1.0,KEEP,
ID000022,Angelina-Jolie,01.jpg,Real,6,6,0,1.0,KEEP,
ID000022,Angelina-Jolie,02.jpg,Fake,6,5,1,1.0,KEEP,
ID000022,Angelina-Jolie,02.jpg,Real,6,6,0,1.0,KEEP,
ID000022,Angelina-Jolie,03.jpg,Fake,6,1,5,0.83,DISCARD,
ID000022,Angelina-Jolie,03.jpg,Real,6,6,0,1.0,KEEP,
ID000022,Angelina-Jolie,04.jpg,Fake,6,1,5,0.67,DISCARD,
ID000022,Angelina-Jolie,05.jpg,Fake,6,1,5,0.67,DISCARD,
ID000022,Angelina-Jolie,06.png,Fake,6,1,5,0.5,DISCARD,
ID000022,Angelina-Jolie,07.jpg,Fake,6,2,4,0.5,DISCARD,
ID000023,Anna-Faris,01.jpg,Fake,6,5,1,1.0,KEEP,
ID000023,Anna-Faris,01.jpg,Real,6,5,1,0.83,KEEP,
ID000023,Anna-Faris,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000024,Anna-Wintour,01.jpg,Fake,6,3,3,0.67,TIE,
ID000024,Anna-Wintour,01.jpg,Real,6,6,0,1.0,KEEP,
ID000024,Anna-Wintour,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000024,Anna-Wintour,02.jpg,Real,6,6,0,1.0,KEEP,
ID000024,Anna-Wintour,03.jpg,Fake,6,6,0,1.0,KEEP,
ID000025,Anthony-Hopkins,01.jpg,Fake,6,3,3,1.0,TIE,
ID000025,Anthony-Hopkins,01.jpg,Real,6,6,0,1.0,KEEP,
ID000025,Anthony-Hopkins,02.jpg,Fake,6,3,3,1.0,TIE,
ID000025,Anthony-Hopkins,02.jpg,Real,6,6,0,1.0,KEEP,
ID000025,Anthony-Hopkins,03.jpg,Fake,6,5,1,1.0,KEEP,
ID000025,Anthony-Hopkins,03.jpg,Real,6,5,1,0.83,KEEP,
ID000025,Anthony-Hopkins,05.jpg,Fake,6,4,2,1.0,KEEP,
ID000025,Anthony-Hopkins,06.jpg,Fake,6,0,6,0.17,DISCARD,
ID000026,Anthony-Edwards,01.jpg,Fake,6,4,2,0.67,KEEP,
ID000026,Anthony-Edwards,01.png,Real,6,6,0,1.0,KEEP,
ID000026,Anthony-Edwards,02.jpg,Fake,6,1,5,0.17,DISCARD,
ID000026,Anthony-Edwards,02.jpg,Real,6,6,0,1.0,KEEP,
ID000027,Antoine-Griezmann,01.jpg,Fake,6,3,3,0.5,TIE,
ID000027,Antoine-Griezmann,01.jpg,Real,6,5,1,0.83,KEEP,
ID000027,Antoine-Griezmann,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000027,Antoine-Griezmann,02.png,Real,6,5,1,0.83,KEEP,
ID000027,Antoine-Griezmann,03.jpg,Fake,6,5,1,0.83,KEEP,
ID000027,Antoine-Griezmann,03.jpg,Real,6,6,0,1.0,KEEP,
ID000028,Antonio-Banderas,01.jpg,Fake,6,0,6,0.17,DISCARD,
ID000028,Antonio-Banderas,01.jpg,Real,6,5,1,0.83,KEEP,
ID000028,Antonio-Banderas,02.jpg,Fake,6,2,4,0.33,DISCARD,
ID000028,Antonio-Banderas,02.jpg,Real,6,5,1,0.83,KEEP,
ID000028,Antonio-Banderas,03.jpg,Fake,6,2,4,0.33,DISCARD,
ID000028,Antonio-Banderas,04.jpg,Fake,6,0,6,0.0,DISCARD,
ID000028,Antonio-Banderas,05.png,Fake,6,4,2,0.67,KEEP,
ID000029,Antonio-Guterres,01.jpg,Real,6,6,0,1.0,KEEP,
ID000029,Antonio-Guterres,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000029,Antonio-Guterres,03.jpg,Fake,6,3,3,0.5,TIE,
ID000029,Antonio-Guterres,04.jpg,Fake,6,3,3,0.5,TIE,
ID000030,Antony,01.jpg,Fake,6,3,3,0.5,TIE,
ID000030,Antony,01.jpg,Real,6,6,0,1.0,KEEP,
ID000030,Antony,02.jpg,Fake,6,4,2,0.83,KEEP,
ID000030,Antony,02.jpg,Real,6,6,0,1.0,KEEP,
ID000031,Arnold-Schwarzenegger,01.jpg,Fake,6,0,6,0.33,DISCARD,
ID000031,Arnold-Schwarzenegger,01.jpg,Real,6,6,0,1.0,KEEP,
ID000031,Arnold-Schwarzenegger,02.jpg,Fake,6,4,2,1.0,KEEP,
ID000031,Arnold-Schwarzenegger,03.jpg,Fake,6,3,3,0.5,TIE,
ID000031,Arnold-Schwarzenegger,04.jpg,Fake,6,3,3,1.0,TIE,
ID000031,Arnold-Schwarzenegger,05.png,Fake,6,1,5,0.5,DISCARD,
ID000031,Arnold-Schwarzenegger,06.jpg,Fake,6,1,5,0.5,DISCARD,
ID000032,Ashley-Judd,01.jpg,Real,6,6,0,1.0,KEEP,
ID000032,Ashley-Judd,02.jpg,Fake,6,4,2,0.67,KEEP,
ID000032,Ashley-Judd,02.jpg,Real,6,6,0,1.0,KEEP,
ID000032,Ashley-Judd,03.jpg,Fake,6,4,2,0.67,KEEP,
ID000033,Ashton-Kutcher,01.jpg,Fake,6,4,2,0.83,KEEP,
ID000033,Ashton-Kutcher,01.jpg,Real,6,5,1,0.83,KEEP,
ID000033,Ashton-Kutcher,02.jpg,Fake,6,3,3,0.5,TIE,
ID000033,Ashton-Kutcher,02.jpg,Real,6,5,1,0.83,KEEP,
ID000034,Audrey-Hepburn,01.jpg,Fake,6,5,1,1.0,KEEP,
ID000034,Audrey-Hepburn,01.jpg,Real,6,6,0,1.0,KEEP,
ID000034,Audrey-Hepburn,02.jpg,Fake,6,4,2,1.0,KEEP,
ID000034,Audrey-Hepburn,02.jpg,Real,6,6,0,1.0,KEEP,
ID000034,Audrey-Hepburn,03.jpg,Fake,6,5,1,1.0,KEEP,
ID000034,Audrey-Hepburn,03.jpg,Real,6,5,1,0.83,KEEP,
ID000034,Audrey-Hepburn,04.jpg,Fake,6,0,6,0.5,DISCARD,
ID000035,Audrey-Tautou,01.jpg,Fake,6,4,2,0.67,KEEP,
ID000035,Audrey-Tautou,01.jpg,Real,6,6,0,1.0,KEEP,
ID000035,Audrey-Tautou,02.jpg,Fake,6,2,4,0.33,DISCARD,
ID000035,Audrey-Tautou,02.jpg,Real,6,6,0,1.0,KEEP,
ID000035,Audrey-Tautou,03.jpg,Fake,6,5,1,0.83,KEEP,
ID000036,Auston-Matthews,01.jpg,Fake,6,3,3,0.5,TIE,
ID000036,Auston-Matthews,01.jpg,Real,6,5,1,0.83,KEEP,
ID000036,Auston-Matthews,02.jpg,Fake,6,1,5,0.33,DISCARD,
ID000037,Babar-Azam,01.jpg,Fake,6,3,3,0.67,TIE,
ID000037,Babar-Azam,01.jpg,Real,6,6,0,1.0,KEEP,
ID000037,Babar-Azam,02.png,Real,6,4,2,0.67,KEEP,
ID000037,Babar-Azam,04.png,Fake,6,5,1,0.83,KEEP,
ID000038,Barack-obamam,01.jpg,Real,6,6,0,1.0,KEEP,
ID000038,Barack-obamam,02.jpg,Fake,6,5,1,0.83,KEEP,
ID000038,Barack-obamam,02.jpg,Real,6,6,0,1.0,KEEP,
ID000038,Barack-obamam,04.jpg,Fake,6,5,1,0.83,KEEP,
ID000038,Barack-obamam,05.png,Fake,6,5,1,0.83,KEEP,
ID000039,Bashar-al-Assad,01.jpg,Fake,6,3,3,0.67,TIE,
ID000039,Bashar-al-Assad,01.jpg,Real,6,6,0,1.0,KEEP,
ID000039,Bashar-al-Assad,02.jpg,Fake,6,5,1,1.0,KEEP,
ID000039,Bashar-al-Assad,02.jpg,Real,6,6,0,1.0,KEEP,
ID000039,Bashar-al-Assad,03.jpg,Fake,6,6,0,1.0,KEEP,
ID000040,Ben-Affleck,01.jpg,Fake,6,3,3,0.83,TIE,
ID000040,Ben-Affleck,01.jpg,Real,6,6,0,1.0,KEEP,
ID000040,Ben-Affleck,02.jpg,Fake,6,0,6,0.33,DISCARD,
ID000040,Ben-Affleck,03.jpg,Fake,6,1,5,0.17,DISCARD,
ID000040,Ben-Affleck,04.jpg,Fake,6,4,2,0.83,KEEP,
ID000040,Ben-Affleck,05.jpg,Fake,6,2,4,0.5,DISCARD,
ID000042,Ben-Kingsley,01.jpg,Fake,6,6,0,1.0,KEEP,
ID000042,Ben-Kingsley,01.jpg,Real,6,6,0,1.0,KEEP,
ID000042,Ben-Kingsley,02.jpg,Fake,6,2,4,0.33,DISCARD,
ID000042,Ben-Kingsley,02.jpg,Real,6,5,1,1.0,KEEP,
ID000043,Benedict-Cumberbatch,01.jpg,Fake,6,5,1,0.83,KEEP,
ID000043,Benedict-Cumberbatch,01.jpg,Real,6,6,0,1.0,KEEP,
ID000043,Benedict-Cumberbatch,02.jpg,Fake,6,2,4,0.33,DISCARD,
ID000043,Benedict-Cumberbatch,02.jpg,Real,6,6,0,1.0,KEEP,
ID000043,Benedict-Cumberbatch,03.jpg,Fake,6,1,5,0.17,DISCARD,
ID000043,Benedict-Cumberbatch,04.webp,Fake,6,3,3,0.5,TIE,
ID000044,Benicio-del-Toro,01.jpg,Real,6,6,0,1.0,KEEP,
ID000044,Benicio-del-Toro,02.jpg,Fake,6,4,2,0.67,KEEP,
ID000044,Benicio-del-Toro,02.jpg,Real,6,6,0,1.0,KEEP,
ID000044,Benicio-del-Toro,03.jpg,Fake,6,6,0,1.0,KEEP,
ID000044,Benicio-del-Toro,03.jpg,Real,6,6,0,1.0,KEEP,
ID000044,Benicio-del-Toro,04.jpg,Fake,6,1,5,0.17,DISCARD,
ID000045,Benjamin-Netanyahu,01.jpg,Real,6,6,0,1.0,KEEP,
ID000045,Benjamin-Netanyahu,01.webp,Fake,6,1,5,0.33,DISCARD,
ID000045,Benjamin-Netanyahu,02.jpg,Fake,6,0,6,0.17,DISCARD,
ID000045,Benjamin-Netanyahu,02.jpg,Real,6,6,0,1.0,KEEP,
ID000045,Benjamin-Netanyahu,03.jpg,Real,6,5,1,0.83,KEEP,
ID000045,Benjamin-Netanyahu,03.png,Fake,6,0,6,0.0,DISCARD,
ID000045,Benjamin-Netanyahu,04.png,Fake,6,3,3,0.5,TIE,
ID000045,Benjamin-Netanyahu,05.jpg,Fake,6,4,2,0.83,KEEP,
ID000046,Benson-Boone,01.jpg,Fake,6,1,5,0.17,DISCARD,
ID000046,Benson-Boone,01.png,Real,6,6,0,1.0,KEEP,
ID000046,Benson-Boone,02.jpg,Fake,6,0,6,0.0,DISCARD,
ID000046,Benson-Boone,02.jpg,Real,6,6,0,1.0,KEEP,
ID000046,Benson-Boone,03.jpg,Fake,6,0,6,0.0,DISCARD,
ID000046,Benson-Boone,04.png,Fake,6,5,1,0.83,KEEP,
ID000047,Beyonacca,01.png,Fake,6,5,1,0.83,KEEP,
ID000047,Beyonacca,01.png,Real,6,6,0,1.0,KEEP,
ID000047,Beyonacca,02.jpg,Fake,6,6,0,1.0,KEEP,
ID000047,Beyonacca,03.jpg,Fake,6,1,5,0.17,DISCARD,
ID000048,Bill-Paxton,01.jpg,Fake,6,3,3,0.5,TIE,
ID000048,Bill-Paxton,01.jpg,Real,6,6,0,1.0,KEEP,
ID000048,Bill-Paxton,02.jpg,Fake,6,1,5,0.17,DISCARD,
ID000048,Bill-Paxton,02.jpg,Real,6,6,0,1.0,KEEP,
ID000048,Bill-Paxton,03.jpg,Real,6,6,0,1.0,KEEP,
ID000049,Billy-Bob-Thornton,01.jpg,Fake,6,3,3,0.67,TIE,
ID000049,Billy-Bob-Thornton,01.jpg,Real,6,6,0,1.0,KEEP,
ID000049,Billy-Bob-Thornton,02.jpg,Real,6,5,1,1.0,KEEP,
ID000049,Billy-Bob-Thornton,02.png,Fake,6,5,1,0.83,KEEP,
ID000049,Billy-Bob-Thornton,03.jpg,Fake,6,0,6,0.17,DISCARD,
ID000049,Billy-Bob-Thornton,03.jpg,Real,6,5,1,0.83,KEEP,
ID000049,Billy-Bob-Thornton,05.jpg,Fake,6,3,3,0.5,TIE,
ID000050,Blair-Parry-Okeden,01.jpg,Fake,6,0,6,0.0,DISCARD,
ID000050,Blair-Parry-Okeden,01.jpg,Real,6,5,1,0.83,KEEP,
ID000050,Blair-Parry-Okeden,02.jpg,Fake,6,0,6,0.0,DISCARD,
ID000050,Blair-Parry-Okeden,02.jpg,Real,6,5,1,0.83,KEEP,
ID000050,Blair-Parry-Okeden,03.jpg,Fake,6,0,6,0.0,DISCARD,
ID000051,Bob-Dylan,01.jpg,Fake,6,4,2,1.0,KEEP,
ID000051,Bob-Dylan,01.jpg,Real,6,5,1,0.83,KEEP,
ID000051,Bob-Dylan,02.jpg,Fake,6,2,4,0.67,DISCARD,
ID000051,Bob-Dylan,02.png,Real,6,6,0,1.0,KEEP,
ID000051,Bob-Dylan,03.jpg,Fake,6,0,6,0.67,DISCARD,
ID000051,Bob-Dylan,04.jpg,Fake,6,5,1,0.83,KEEP,
ID000052,Brad-Pitt,01.jpg,Fake,6,6,0,1.0,KEEP,
ID000052,Brad-Pitt,01.jpg,Real,6,6,0,1.0,KEEP,
ID000052,Brad-Pitt,02.jpg,Fake,6,3,3,0.5,TIE,
ID000052,Brad-Pitt,02.jpg,Real,6,6,0,1.0,KEEP,
ID000052,Brad-Pitt,03.jpg,Fake,6,0,6,0.0,DISCARD,
ID000052,Brad-Pitt,03.jpg,Real,6,6,0,1.0,KEEP,
ID000052,Brad-Pitt,04.jpg,Fake,6,1,5,0.17,DISCARD,
